2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.545323708273825E+07,  1.460913442868109E+08, -2.726527903765440E+03,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000, -2.556073833622129E+07,  1.460727081094081E+08, -2.722454973571002E+03,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000, -2.566822570706119E+07,  1.460539935061402E+08, -2.718412048205733E+03,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000, -2.577569913649376E+07,  1.460352004901889E+08, -2.714399233661592E+03,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000, -2.588315856578722E+07,  1.460163290747831E+08, -2.710416633710265E+03,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000, -2.599060393624214E+07,  1.459973792731992E+08, -2.706464349843562E+03,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000, -2.609803518919148E+07,  1.459783510987602E+08, -2.702542481318116E+03,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000, -2.620545226600053E+07,  1.459592445648365E+08, -2.698651125140488E+03,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000, -2.631285510806697E+07,  1.459400596848449E+08, -2.694790376089513E+03,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000, -2.642024365682083E+07,  1.459207964722492E+08, -2.690960326679051E+03,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000, -2.652761785372454E+07,  1.459014549405596E+08, -2.687161067202687E+03,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000, -2.663497764027285E+07,  1.458820351033328E+08, -2.683392685689032E+03,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000, -2.674232295799292E+07,  1.458625369741718E+08, -2.679655267938972E+03,
2458850.041666667, A.D. 2020-Jan-01 13:00:00.0000, -2.684965374844427E+07,  1.458429605667261E+08, -2.675948897540569E+03,
2458850.083333333, A.D. 2020-Jan-01 14:00:00.0000, -2.695696995321884E+07,  1.458233058946912E+08, -2.672273655802011E+03,
2458850.125000000, A.D. 2020-Jan-01 15:00:00.0000, -2.706427151394092E+07,  1.458035729718085E+08, -2.668629621855915E+03,
2458850.166666667, A.D. 2020-Jan-01 16:00:00.0000, -2.717155837226722E+07,  1.457837618118653E+08, -2.665016872532666E+03,
2458850.208333333, A.D. 2020-Jan-01 17:00:00.0000, -2.727883046988686E+07,  1.457638724286951E+08, -2.661435482501984E+03,
2458850.250000000, A.D. 2020-Jan-01 18:00:00.0000, -2.738608774852141E+07,  1.457439048361768E+08, -2.657885524138808E+03,
2458850.291666667, A.D. 2020-Jan-01 19:00:00.0000, -2.749333014992484E+07,  1.457238590482350E+08, -2.654367067649961E+03,
2458850.333333333, A.D. 2020-Jan-01 20:00:00.0000, -2.760055761588361E+07,  1.457037350788397E+08, -2.650880180940032E+03,
2458850.375000000, A.D. 2020-Jan-01 21:00:00.0000, -2.770777008821663E+07,  1.456835329420066E+08, -2.647424929752946E+03,
2458850.416666667, A.D. 2020-Jan-01 22:00:00.0000, -2.781496750877531E+07,  1.456632526517963E+08, -2.644001377590001E+03,
2458850.458333333, A.D. 2020-Jan-01 23:00:00.0000, -2.792214981944354E+07,  1.456428942223149E+08, -2.640609585680068E+03,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000, -2.802931696213779E+07,  1.456224576677136E+08, -2.637249613083899E+03,
2458850.541666667, A.D. 2020-Jan-02 01:00:00.0000, -2.813646887880702E+07,  1.456019430021886E+08, -2.633921516582370E+03,
2458850.583333333, A.D. 2020-Jan-02 02:00:00.0000, -2.824360551143282E+07,  1.455813502399809E+08, -2.630625350765884E+03,
2458850.625000000, A.D. 2020-Jan-02 03:00:00.0000, -2.835072680202935E+07,  1.455606793953764E+08, -2.627361167997122E+03,
2458850.666666667, A.D. 2020-Jan-02 04:00:00.0000, -2.845783269264339E+07,  1.455399304827057E+08, -2.624129018381238E+03,
2458850.708333333, A.D. 2020-Jan-02 05:00:00.0000, -2.856492312535440E+07,  1.455191035163440E+08, -2.620928949795663E+03,
2458850.750000000, A.D. 2020-Jan-02 06:00:00.0000, -2.867199804227451E+07,  1.454981985107111E+08, -2.617761007942259E+03,
2458850.791666667, A.D. 2020-Jan-02 07:00:00.0000, -2.877905738554858E+07,  1.454772154802712E+08, -2.614625236228108E+03,
2458850.833333333, A.D. 2020-Jan-02 08:00:00.0000, -2.888610109735420E+07,  1.454561544395328E+08, -2.611521675847471E+03,
2458850.875000000, A.D. 2020-Jan-02 09:00:00.0000, -2.899312911990178E+07,  1.454350154030486E+08, -2.608450365789235E+03,
2458850.916666667, A.D. 2020-Jan-02 10:00:00.0000, -2.910014139543452E+07,  1.454137983854157E+08, -2.605411342777312E+03,
2458850.958333333, A.D. 2020-Jan-02 11:00:00.0000, -2.920713786622850E+07,  1.453925034012750E+08, -2.602404641315341E+03,
2458851.000000000, A.D. 2020-Jan-02 12:00:00.0000, -2.931411847459269E+07,  1.453711304653113E+08, -2.599430293671787E+03,
2458851.041666667, A.D. 2020-Jan-02 13:00:00.0000, -2.942108316286903E+07,  1.453496795922535E+08, -2.596488329872489E+03,
2458851.083333333, A.D. 2020-Jan-02 14:00:00.0000, -2.952803187343240E+07,  1.453281507968742E+08, -2.593578777708113E+03,
2458851.125000000, A.D. 2020-Jan-02 15:00:00.0000, -2.963496454869075E+07,  1.453065440939894E+08, -2.590701662726700E+03,
2458851.166666667, A.D. 2020-Jan-02 16:00:00.0000, -2.974188113108512E+07,  1.452848594984591E+08, -2.587857008211315E+03,
