2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -5.682653841092885E+05,  1.112997165528592E+06,  3.445256675517594E+03,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000, -5.683174453092997E+05,  1.112984753168469E+06,  3.446692566358601E+03,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000, -5.683695058469222E+05,  1.112972338139677E+06,  3.448128438237472E+03,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000, -5.684215657220753E+05,  1.112959920442579E+06,  3.449564291144954E+03,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000, -5.684736249346792E+05,  1.112947500077532E+06,  3.451000125072198E+03,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000, -5.685256834846542E+05,  1.112935077044899E+06,  3.452435940010240E+03,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000, -5.685777413719210E+05,  1.112922651345039E+06,  3.453871735950059E+03,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000, -5.686297985964009E+05,  1.112910222978313E+06,  3.455307512882806E+03,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000, -5.686818551580154E+05,  1.112897791945079E+06,  3.456743270799518E+03,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000, -5.687339110566863E+05,  1.112885358245699E+06,  3.458179009691521E+03,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000, -5.687859662923362E+05,  1.112872921880533E+06,  3.459614729549794E+03,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000, -5.688380208648879E+05,  1.112860482849940E+06,  3.461050430365663E+03,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000, -5.688900747742642E+05,  1.112848041154280E+06,  3.462486112130340E+03,
2458850.041666667, A.D. 2020-Jan-01 13:00:00.0000, -5.689421280203889E+05,  1.112835596793914E+06,  3.463921774835151E+03,
2458850.083333333, A.D. 2020-Jan-01 14:00:00.0000, -5.689941806031859E+05,  1.112823149769200E+06,  3.465357418471307E+03,
2458850.125000000, A.D. 2020-Jan-01 15:00:00.0000, -5.690462325225795E+05,  1.112810700080500E+06,  3.466793043030309E+03,
2458850.166666667, A.D. 2020-Jan-01 16:00:00.0000, -5.690982837784943E+05,  1.112798247728173E+06,  3.468228648503311E+03,
2458850.208333333, A.D. 2020-Jan-01 17:00:00.0000, -5.691503343708555E+05,  1.112785792712578E+06,  3.469664234881871E+03,
2458850.250000000, A.D. 2020-Jan-01 18:00:00.0000, -5.692023842995886E+05,  1.112773335034075E+06,  3.471099802157376E+03,
2458850.291666667, A.D. 2020-Jan-01 19:00:00.0000, -5.692544335646195E+05,  1.112760874693024E+06,  3.472535350321268E+03,
2458850.333333333, A.D. 2020-Jan-01 20:00:00.0000, -5.693064821658743E+05,  1.112748411689784E+06,  3.473970879365108E+03,
2458850.375000000, A.D. 2020-Jan-01 21:00:00.0000, -5.693585301032799E+05,  1.112735946024715E+06,  3.475406389280281E+03,
2458850.416666667, A.D. 2020-Jan-01 22:00:00.0000, -5.694105773767631E+05,  1.112723477698177E+06,  3.476841880058404E+03,
2458850.458333333, A.D. 2020-Jan-01 23:00:00.0000, -5.694626239862515E+05,  1.112711006710529E+06,  3.478277351691155E+03,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000, -5.695146699316729E+05,  1.112698533062130E+06,  3.479712804170093E+03,
2458850.541666667, A.D. 2020-Jan-02 01:00:00.0000, -5.695667152129554E+05,  1.112686056753340E+06,  3.481148237486719E+03,
2458850.583333333, A.D. 2020-Jan-02 02:00:00.0000, -5.696187598300277E+05,  1.112673577784518E+06,  3.482583651632885E+03,
2458850.625000000, A.D. 2020-Jan-02 03:00:00.0000, -5.696708037828186E+05,  1.112661096156023E+06,  3.484019046600268E+03,
2458850.666666667, A.D. 2020-Jan-02 04:00:00.0000, -5.697228470712577E+05,  1.112648611868215E+06,  3.485454422380484E+03,
2458850.708333333, A.D. 2020-Jan-02 05:00:00.0000, -5.697748896952744E+05,  1.112636124921452E+06,  3.486889778965502E+03,
2458850.750000000, A.D. 2020-Jan-02 06:00:00.0000, -5.698269316547990E+05,  1.112623635316094E+06,  3.488325116346881E+03,
2458850.791666667, A.D. 2020-Jan-02 07:00:00.0000, -5.698789729497621E+05,  1.112611143052501E+06,  3.489760434516589E+03,
2458850.833333333, A.D. 2020-Jan-02 08:00:00.0000, -5.699310135800944E+05,  1.112598648131030E+06,  3.491195733466477E+03,
2458850.875000000, A.D. 2020-Jan-02 09:00:00.0000, -5.699830535457273E+05,  1.112586150552042E+06,  3.492631013188337E+03,
2458850.916666667, A.D. 2020-Jan-02 10:00:00.0000, -5.700350928465923E+05,  1.112573650315894E+06,  3.494066273674136E+03,
2458850.958333333, A.D. 2020-Jan-02 11:00:00.0000, -5.700871314826214E+05,  1.112561147422946E+06,  3.495501514915901E+03,
2458851.000000000, A.D. 2020-Jan-02 12:00:00.0000, -5.701391694537472E+05,  1.112548641873557E+06,  3.496936736905540E+03,
2458851.041666667, A.D. 2020-Jan-02 13:00:00.0000, -5.701912067599023E+05,  1.112536133668085E+06,  3.498371939634962E+03,
2458851.083333333, A.D. 2020-Jan-02 14:00:00.0000, -5.702432434010197E+05,  1.112523622806890E+06,  3.499807123096311E+03,
2458851.125000000, A.D. 2020-Jan-02 15:00:00.0000, -5.702952793770332E+05,  1.112511109290329E+06,  3.501242287281610E+03,
2458851.166666667, A.D. 2020-Jan-02 16:00:00.0000, -5.703473146878766E+05,  1.112498593118761E+06,  3.502677432183002E+03,
